transaction_id,customer_id,product_id_x,quantity,transaction_date,total_amount,Card_Type,product_id_y,product_name,last_restock_date,product_quantity,unit_price,supplier
13-7427019,87-2919006,46-2732354,3952.0,10.06.2023,136314,visa-electron,46-2732354,Onions - Spanish,31.01.2023,5905.0,4220.3,Fleurette Fernier
65-2968490,56-9876147,07-4959214,318.0,15.02.2023,478949,jcb,07-4959214,Scotch - Queen Anne,18.12.2022,2021.0,3464.97,Clio Le Grove
93-7941794,73-2941955,69-8808573,6494.0,27.01.2023,217955,jcb,69-8808573,Wine - Pinot Noir Latour,28.06.2023,7634.0,1955.62,Elmer Bea
41-5559823,83-9114467,,9650.0,27.05.2023,111286,,,Arizona - Green Tea,11.09.2023,8355.0,268.38,Anstice Wycliffe
59-6523445,42-9271721,33-1257533,1821.0,14.01.2023,166472,jcb,33-1257533,"Gingerale - Schweppes, 355 Ml",24.08.2023,6522.0,1663.12,Trudy Landy
98-9652722,75-4953322,56-9365892,6566.0,13.02.2023,43692,jcb,56-9365892,Hinge W Undercut,14.04.2023,2700.0,3761.92,Rafaelita Fippe
94-5083824,74-5488660,20-4396570,,,115201,jcb,20-4396570,Pickle - Dill,13.05.2023,,1499.17,Aleda Nelligan
20-4432256,27-6531689,48-8088580,4019.0,11.03.2023,74789,,48-8088580,Beans - Butter Lrg Lima,02.05.2023,,3317.61,Lucien Beacon
97-8360558,04-0366460,06-5948226,7695.0,,169202,china-unionpay,06-5948226,Thyme - Fresh,19.10.2023,,,Lynn MacPhaden
20-2155858,58-7694747,99-2939935,3885.0,03.08.2023,106486,,99-2939935,Wine - Stoneliegh Sauvignon,,5799.0,1314.56,Alexander Steinson
83-3283734,83-5565966,41-4272436,2772.0,24.07.2023,219570,mastercard,41-4272436,"Soup - Knorr, Country Bean",11.06.2023,4881.0,2164.73,Shirlee Kirgan
31-0766108,81-2423872,79-4564236,5820.0,02.06.2023,178563,,79-4564236,Cabbage - Green,05.12.2022,8879.0,4215.8,Archibaldo Glassopp
01-2776985,37-2723236,81-3582531,,02.10.2023,157669,maestro,81-3582531,Wine - Cava Aria Estate Brut,,,336.9,Dani Allain
80-6605188,31-7669435,93-0679435,2503.0,06.05.2023,142922,switch,93-0679435,Tomato Paste,,1608.0,,Madelene Ferns
13-5971356,97-8722080,17-5999723,6039.0,05.05.2023,425209,,17-5999723,Coffee Cup 8oz 5338cd,10.03.2023,8786.0,1813.73,Vidovic O'Kynsillaghe
48-0643259,22-0819003,80-1464757,8487.0,04.11.2023,484744,,80-1464757,Cabbage Roll,,6443.0,211.29,Drusi Worman
46-5220386,09-1327795,34-4720533,1527.0,01.04.2023,177341,,34-4720533,Fondant - Icing,18.10.2023,3855.0,3418.58,Forrest Emm
65-9566037,30-7033319,14-9553949,4915.0,01.04.2023,299504,,14-9553949,"Beef - Tenderlion, Center Cut",11.02.2023,8026.0,3978.66,Dallis Bachelor
32-9148620,18-5267292,63-4506244,3538.0,17.05.2023,397043,visa,63-4506244,Mushrooms - Honey,28.03.2023,9967.0,185.28,Darren Marrion
03-2052204,84-2749944,41-8539672,,30.07.2023,276016,,41-8539672,"Potatoes - Purple, Organic",26.01.2023,186.0,4272.06,Darlleen Forster
95-8549712,52-9361646,90-8515957,9438.0,22.01.2023,202113,,90-8515957,"Rum - Coconut, Malibu",12.11.2023,7714.0,2804.94,Izabel Bakewell
09-6154709,47-3111844,14-8113708,1054.0,10.02.2023,533561,china-unionpay,14-8113708,Pails With Lids,03.02.2023,1786.0,3123.26,Dodie Clere
37-0619510,10-0570304,19-9981611,3198.0,12.10.2023,27164,,19-9981611,"Brownies - Two Bite, Chocolate",18.07.2023,3553.0,1385.73,Lyon Wind
